,"Total energy, Btu","Fossil fuels, Btu","Coal, Btu","Natural gas, Btu","Petroleum, Btu",Water consumption: gallons,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,Biogenic CO2,Primary Unit
diesel,182676.7825,176795.2229,7940.273987,122277.3245,46577.62447,22.78434569,7.367245446,11.75109137,17.85939273,1.304491033,1.105258563,4.753298168,0.170466644,0.299783644,109.4999064,0.222030459,12944.33226,0,mmBtu
electricity_u.s. mix,2030788.981,1595100.277,610146.069,958187.7221,26766.48612,181.9495834,14.16304011,49.80816949,89.20995798,13.19230913,7.550839763,76.08592281,0.431430269,2.137336728,264.6263551,2.393446664,120183.9041,0,mmBtu
natural gas,104261.0063,103489.8565,1078.803337,98380.29788,4030.755277,3.211633492,10.28740542,31.26772995,36.29130124,0.421536257,0.378940522,11.12037805,0.099192043,0.143251678,216.3581589,1.419665858,6135.910916,0,mmBtu
"sulfuric acid, 93%",0.566623382,0.533359404,0.046485608,0.139414354,0.347459442,8.45E-05,1.81E-05,4.08E-05,0.000319479,2.13E-05,1.94E-05,0.002151032,2.77E-06,8.17E-06,6.31E-05,9.91E-07,0.04110787,0,g
sulfuric acid,0.566623382,0.533359404,0.046485608,0.139414354,0.347459442,8.45E-05,1.81E-05,4.08E-05,0.000319479,2.13E-05,1.94E-05,0.002151032,2.77E-06,8.17E-06,6.31E-05,9.91E-07,0.04110787,0,g
caustic,30.42502474,27.05207011,5.35200501,20.58953676,1.110528342,0.003667695,0.000273614,0.001105039,0.001789449,0.000178829,0.000119021,0.000953809,1.24E-05,3.71E-05,0.004818494,4.40E-05,1.85036167,0,g
ammonia,40.05074672,39.82591877,0.314530316,38.3584686,1.152919853,0.000503208,0.005123857,0.005337844,0.002125804,9.69E-05,8.71E-05,0.00074022,1.46E-05,3.52E-05,0.00733152,4.93E-05,2.378175388,0,g
corn steep liquor,96.17307719,12.43425609,0.463250143,8.619167947,3.351837996,0.032978239,0.000728679,0.001637031,0.00376513,0.000225624,0.00018439,0.001079096,3.51E-05,3.12E-05,0.002026528,0.002698567,0.891312936,0,g
diammonium phosphate,24.29216843,23.11283481,1.650169473,16.48357425,4.979091092,0.009764429,0.001451872,0.00209503,0.004894913,0.001058289,0.000834723,0.01104962,4.81E-05,0.000106218,0.003790879,3.53E-05,1.540386043,0,g
corn oil,36.24014441,0.804875301,0.247093934,0.386328151,0.154645965,0.001323691,8.15E-06,4.33E-05,6.13E-05,6.35E-06,3.47E-06,3.14E-05,2.15E-07,1.05E-06,0.00012201,1.06E-06,0.060945146,0,g
